link_row,start_lon,start_lat,end_lon,end_lat,mid_lon,mid_lat,highway_code,vol_base_case,capacity_base_case,freespeed_ms,length_m,degree,times_intervened,mean_abs_response,std_response
28032,2.28209,48.85969,2.28147,48.85917,2.28178,48.85943,4,7.4,480.0,8.33,73.6,4,0,1.088,1.03
28033,2.27986,48.85909,2.28074,48.85957,2.2803,48.85933,4,1.3,480.0,8.33,83.8,3,0,0.65,0.849
28034,2.27948,48.85984,2.2802,48.8607,2.27984,48.86027,4,11.1,480.0,8.33,113.2,4,0,1.483,1.689
28035,2.28638,48.86145,2.28461,48.86029,2.28549,48.86087,4,0.0,480.0,8.33,183.4,3,0,0.001,0.032
28036,2.28461,48.86029,2.28465,48.85878,2.28463,48.85954,4,8.5,480.0,8.33,176.2,3,0,1.305,1.604
28037,2.28127,48.84909,2.28167,48.84931,2.28147,48.8492,1,29.7,3600.0,8.33,38.1,3,351,5.725,6.258
28038,2.29891,48.86855,2.29905,48.86864,2.29898,48.8686,4,6.7,480.0,8.33,14.6,3,0,1.344,1.496
28039,2.22888,48.86762,2.22893,48.86767,2.22891,48.86765,1,0.0,3000.0,13.89,13.9,3,0,0.0,0.0
28040,2.22893,48.86767,2.23027,48.86895,2.2296,48.86831,1,0.0,3000.0,13.89,172.7,3,0,0.0,0.0
28041,2.30145,48.86508,2.30136,48.86613,2.3014,48.86561,3,84.1,480.0,8.33,116.5,3,333,6.217,6.645
28042,2.30136,48.86613,2.30145,48.86508,2.3014,48.86561,3,43.5,480.0,8.33,116.5,2,333,5.259,4.747
28043,2.30136,48.86613,2.3013,48.86673,2.30133,48.86643,3,80.5,480.0,8.33,67.2,3,333,6.249,6.302
28044,2.3013,48.86673,2.30136,48.86613,2.30133,48.86643,3,37.6,480.0,8.33,67.2,5,333,5.712,4.917
28045,2.3013,48.86673,2.30123,48.86753,2.30126,48.86713,3,69.2,480.0,8.33,88.5,4,333,6.428,6.397
28046,2.30123,48.86753,2.3013,48.86673,2.30126,48.86713,3,42.6,480.0,8.33,88.5,3,333,5.74,4.947
28047,2.29634,48.87234,2.29658,48.87204,2.29646,48.87219,2,48.9,2400.0,8.33,37.4,3,333,7.484,9.475
28048,2.30123,48.86753,2.30114,48.86842,2.30118,48.86797,3,77.8,480.0,8.33,99.5,3,333,6.482,6.489
28049,2.30114,48.86842,2.30123,48.86753,2.30118,48.86797,3,49.4,480.0,8.33,99.5,3,333,5.713,5.237
28050,2.33446,48.82566,2.3359,48.8242,2.33518,48.82493,4,5.2,480.0,8.33,224.8,2,0,1.697,2.025
28051,2.30114,48.86842,2.301,48.86991,2.30107,48.86916,3,70.4,480.0,8.33,165.7,3,333,7.306,8.21
28052,2.301,48.86991,2.30114,48.86842,2.30107,48.86916,3,51.2,480.0,8.33,165.7,4,333,4.171,4.924
28053,2.27575,48.86032,2.2752,48.86081,2.27547,48.86057,4,5.0,480.0,8.33,90.6,2,0,0.22,0.43
28054,2.301,48.86991,2.30099,48.87006,2.301,48.86998,3,77.7,480.0,8.33,16.7,5,333,7.129,8.075
28055,2.2733,48.85037,2.27228,48.8511,2.27279,48.85074,4,3.9,480.0,8.33,110.3,2,0,1.828,1.316
28056,2.27228,48.8511,2.2733,48.85037,2.27279,48.85074,4,12.0,480.0,8.33,110.3,4,0,2.352,2.925
28057,2.27393,48.85184,2.27219,48.85278,2.27306,48.85231,4,12.4,480.0,8.33,165.0,3,0,1.59,1.92
